myFunc generated func Eliott activation: x/(1+fabsf(x))
input -0.847185 -0.608045 PredOutput -0.847439 -0.608783 
input -1.37485 -2.59878 PredOutput -1.37447 -2.59761 
input -0.367394 -0.0495904 PredOutput -0.366726 -0.0480783 
input -1.74605 -5.32314 PredOutput -1.74596 -5.31906 
input 1.14609 1.50542 PredOutput 1.14691 1.50711 
input 0.811558 0.534514 PredOutput 0.812188 0.534389 
input -0.57788 -0.192981 PredOutput -0.578117 -0.193464 
input 0.371749 0.0513749 PredOutput 0.372999 0.0513076 
input 1.02145 1.06575 PredOutput 1.0236 1.06658 
input -1.47795 -3.22835 PredOutput -1.47729 -3.22905 
input 1.98046 7.76778 PredOutput 1.98041 7.76549 
input -1.42467 -2.89165 PredOutput -1.42428 -2.89409 
input 1.02368 1.07273 PredOutput 1.02583 1.07362 
input 0.613617 0.231042 PredOutput 0.610755 0.231387 
input -1.60643 -4.14558 PredOutput -1.60722 -4.14815 
input -1.89241 -6.77715 PredOutput -1.89171 -6.77482 
input 1.40658 2.78287 PredOutput 1.40587 2.78554 
input -1.97147 -7.66249 PredOutput -1.9718 -7.66507 
input -1.30095 -2.20184 PredOutput -1.30115 -2.20066 
input 2.19032 10.508 PredOutput 2.18857 10.5107 
input -1.88175 -6.66328 PredOutput -1.8811 -6.66217 
input 0.413126 0.0705092 PredOutput 0.414964 0.0721229 
input -0.476563 -0.108233 PredOutput -0.474419 -0.10602 
input -0.61998 -0.238305 PredOutput -0.620618 -0.239573 
input -0.208666 -0.00908567 PredOutput -0.211103 -0.0122204 
input 0.135555 0.00249085 PredOutput 0.135856 0.000927716 
input 2.16581 10.1592 PredOutput 2.16552 10.1594 
input 1.09036 1.29632 PredOutput 1.09212 1.2983 
input 1.09033 1.29621 PredOutput 1.09209 1.2982 
input 1.64239 4.43029 PredOutput 1.64394 4.43426 
input 1.07277 1.23458 PredOutput 1.07471 1.23641 
input 0.734273 0.395889 PredOutput 0.734235 0.397101 
input 1.45205 3.06159 PredOutput 1.4522 3.06482 
input 0.658711 0.285814 PredOutput 0.656044 0.285445 
input -1.1918 -1.69281 PredOutput -1.1925 -1.69483 
input -0.753381 -0.427606 PredOutput -0.754096 -0.429428 
input 0.585518 0.200734 PredOutput 0.582993 0.201767 
input 0.0470183 0.000103944 PredOutput 0.0467159 0.00362866 
input 0.20287 0.0083494 PredOutput 0.20233 0.00484335 
input -0.125473 -0.00197537 PredOutput -0.123934 -0.00302126 
input -0.215963 -0.0100725 PredOutput -0.218481 -0.0131034 
input -0.288141 -0.0239231 PredOutput -0.290132 -0.0243357 
input 0.433318 0.0813616 PredOutput 0.434959 0.0835289 
input 0.772094 0.460268 PredOutput 0.773586 0.462943 
input -0.858195 -0.632059 PredOutput -0.858377 -0.632608 
input 0.53602 0.154008 PredOutput 0.534718 0.15619 
input 0.862329 0.641237 PredOutput 0.862664 0.638815 
input -0.67269 -0.3044 PredOutput -0.673486 -0.306189 
input 0.559495 0.175141 PredOutput 0.557533 0.176821 
input 1.05793 1.18405 PredOutput 1.05999 1.18567 
input 0.812929 0.537226 PredOutput 0.813524 0.536989 
input 0.14274 0.0029083 PredOutput 0.143013 0.00101471 
input 1.66049 4.57834 PredOutput 1.66183 4.58172 
input -1.71039 -5.00361 PredOutput -1.71078 -5.0014 
input 0.41013 0.0689868 PredOutput 0.411976 0.0705035 
input 1.21338 1.78643 PredOutput 1.2127 1.7864 
input -1.3651 -2.54384 PredOutput -1.36475 -2.54217 
input 1.44052 2.98923 PredOutput 1.44054 2.99282 
input -0.279413 -0.0218143 PredOutput -0.281622 -0.0225059 
input 1.16543 1.58294 PredOutput 1.16585 1.58426 
input 0.817457 0.546255 PredOutput 0.817955 0.545674 
input 1.94943 7.40833 PredOutput 1.94906 7.40297 
input -1.30439 -2.21932 PredOutput -1.30455 -2.21801 
input -0.891931 -0.709567 PredOutput -0.89189 -0.709503 
input 1.64551 4.45553 PredOutput 1.64703 4.45946 
input -1.48387 -3.26729 PredOutput -1.48319 -3.26758 
input -0.0334452 -3.7411e-05 PredOutput -0.0317114 0.00285818 
input -0.0176994 -5.5447e-06 PredOutput -0.0163887 0.00334067 
input 0.810385 0.532199 PredOutput 0.811044 0.532171 
input 0.453679 0.0933782 PredOutput 0.454909 0.0959088 
input 0.986709 0.960654 PredOutput 0.988691 0.960481 
input -0.00648793 -2.73098e-07 PredOutput -0.00549872 0.00358744 
input -0.614053 -0.231535 PredOutput -0.614652 -0.232712 
input 1.79733 5.80611 PredOutput 1.79645 5.80473 
input 1.39976 2.7426 PredOutput 1.39884 2.74466 
input -0.46496 -0.100519 PredOutput -0.462693 -0.0981862 
input -1.06081 -1.19376 PredOutput -1.06021 -1.19206 
input -1.72547 -5.13713 PredOutput -1.72564 -5.13378 
input -0.931614 -0.808553 PredOutput -0.931336 -0.807804 
input -0.319758 -0.0326937 PredOutput -0.320758 -0.0322256 
input -1.03197 -1.09901 PredOutput -1.03135 -1.09726 
input -0.0553217 -0.000169312 PredOutput -0.0531257 0.00193325 
input 0.552927 0.169046 PredOutput 0.551138 0.170878 
input 0.253267 0.0162456 PredOutput 0.252051 0.0126169 
input -0.464691 -0.100344 PredOutput -0.462422 -0.0980095 
input 1.00918 1.02781 PredOutput 1.0113 1.0283 
input -0.711731 -0.360535 PredOutput -0.712528 -0.362454 
input -0.392533 -0.0604824 PredOutput -0.391106 -0.058546 
input 1.2073 1.75973 PredOutput 1.20676 1.75989 
input 1.60835 4.16049 PredOutput 1.60982 4.16283 
input -0.223938 -0.01123 PredOutput -0.226521 -0.0140769 
input -1.27212 -2.05863 PredOutput -1.27259 -2.05864 
input -1.78675 -5.7042 PredOutput -1.78652 -5.70388 
input -0.872242 -0.663608 PredOutput -0.872332 -0.663905 
input -1.62051 -4.25555 PredOutput -1.6215 -4.25887 
input -0.186051 -0.00644019 PredOutput -0.188037 -0.00954007 
input -0.252735 -0.0161434 PredOutput -0.255364 -0.0178221 
input 0.345993 0.0414194 PredOutput 0.346098 0.0400738 
input -0.607566 -0.224275 PredOutput -0.608117 -0.225346 
input -0.103028 -0.0010936 PredOutput -0.100799 -0.00110698 
input 0.113287 0.00145393 PredOutput 0.113497 0.00115573 
input -1.17191 -1.60948 PredOutput -1.17246 -1.61121 
input -1.76512 -5.49945 PredOutput -1.76488 -5.49605 
input -0.0803732 -0.0005192 PredOutput -0.0779492 0.000512272 
input -0.920354 -0.779587 PredOutput -0.920137 -0.779019 
input -0.685296 -0.321836 PredOutput -0.686101 -0.323689 
input -2.04016 -8.49165 PredOutput -2.0404 -8.49107 
input 0.554242 0.170254 PredOutput 0.552417 0.172056 
input -1.22756 -1.84981 PredOutput -1.2283 -1.85143 
input -1.71718 -5.06343 PredOutput -1.71747 -5.06066 
input 0.965632 0.900399 PredOutput 0.967405 0.89957 
input -0.811105 -0.533618 PredOutput -0.811573 -0.534901 
input -0.502708 -0.127042 PredOutput -0.501164 -0.125384 
input 0.24375 0.0144822 PredOutput 0.242619 0.0108044 
input -0.518465 -0.139366 PredOutput -0.517438 -0.138216 
input -1.05404 -1.17105 PredOutput -1.05343 -1.16932 
input 1.8462 6.29269 PredOutput 1.84565 6.29652 
input 0.870532 0.659712 PredOutput 0.870943 0.657197 
input -2.17358 -10.269 PredOutput -2.17376 -10.2724 
input 0.521166 0.141556 PredOutput 0.520329 0.143985 
input -0.43688 -0.0833849 PredOutput -0.43464 -0.0810122 
input 1.32835 2.34387 PredOutput 1.32603 2.34124 
input -2.05527 -8.68177 PredOutput -2.05544 -8.68042 
input -1.37449 -2.59671 PredOutput -1.3741 -2.59552 
input 0.298457 0.0265855 PredOutput 0.297314 0.0236363 
input -0.856949 -0.629311 PredOutput -0.857139 -0.629882 
input 1.57324 3.89392 PredOutput 1.57388 3.89053 
input 0.736298 0.399173 PredOutput 0.736368 0.400496 
input -0.82179 -0.554987 PredOutput -0.822199 -0.556121 
input -1.50859 -3.4333 PredOutput -1.50783 -3.4318 
input 0.772878 0.461671 PredOutput 0.774378 0.46434 
input -0.464106 -0.099966 PredOutput -0.461833 -0.0976269 
input 0.208547 0.00907011 PredOutput 0.207911 0.00550077 
input -1.17428 -1.61924 PredOutput -1.17484 -1.62102 
input 1.90705 6.93561 PredOutput 1.90656 6.93377 
input 1.93217 7.21332 PredOutput 1.93173 7.20875 
input 0.415788 0.0718813 PredOutput 0.417616 0.07358 
input 1.91775 7.05301 PredOutput 1.91727 7.04987 
input 0.392289 0.0603698 PredOutput 0.39403 0.0612242 
input 1.21185 1.77972 PredOutput 1.21121 1.77974 
input 0.459267 0.0968711 PredOutput 0.460356 0.0994671 
input 1.30016 2.1978 PredOutput 1.29795 2.19524 
input 0.723423 0.378597 PredOutput 0.722838 0.379285 
input 0.426356 0.0775026 PredOutput 0.428093 0.0795011 
input -1.5473 -3.70442 PredOutput -1.54673 -3.70137 
input 0.884005 0.69082 PredOutput 0.884579 0.688274 
input 0.066216 0.000290329 PredOutput 0.065757 0.00315444 
input 0.0455358 9.44186e-05 PredOutput 0.0452552 0.00365452 
input -0.507503 -0.130712 PredOutput -0.50612 -0.129207 
input -1.56648 -3.84392 PredOutput -1.56623 -3.84158 
input -0.410227 -0.0690356 PredOutput -0.40838 -0.0668688 
input 0.324373 0.0341299 PredOutput 0.323737 0.0319277 
input -0.234333 -0.0128677 PredOutput -0.236972 -0.0153596 
input -1.94162 -7.31966 PredOutput -1.94151 -7.31955 
input 0.428031 0.0784198 PredOutput 0.429747 0.0804601 
input 0.57307 0.188201 PredOutput 0.570788 0.18955 
input -0.16345 -0.00436673 PredOutput -0.16453 -0.00697024 
input 1.99171 7.90098 PredOutput 1.99184 7.90147 
input 1.17486 1.62166 PredOutput 1.17506 1.62276 
input -1.2358 -1.88732 PredOutput -1.23652 -1.88871 
input -0.148858 -0.00329852 PredOutput -0.148688 -0.00534841 
input -1.39143 -2.69393 PredOutput -1.39105 -2.69416 
input 1.17237 1.61136 PredOutput 1.17263 1.61253 
input 1.15109 1.52522 PredOutput 1.15181 1.52683 
input -0.429533 -0.0792485 PredOutput -0.427369 -0.0769116 
input 0.537533 0.155316 PredOutput 0.536185 0.157468 
input -0.615537 -0.233219 PredOutput -0.616147 -0.23442 
input -1.27296 -2.06272 PredOutput -1.27343 -2.0627 
input -1.71698 -5.06168 PredOutput -1.71727 -5.05892 
input 0.644689 0.267948 PredOutput 0.641855 0.267717 
input 0.423898 0.0761702 PredOutput 0.425663 0.0781017 
input 0.279917 0.0219324 PredOutput 0.278636 0.0186146 
input -0.687098 -0.324381 PredOutput -0.687903 -0.326242 
input 0.446278 0.0888823 PredOutput 0.447677 0.0913023 
input 1.9064 6.92854 PredOutput 1.90591 6.92678 
input -0.0540289 -0.000157717 PredOutput -0.0518544 0.00199679 
input 2.049 8.60251 PredOutput 2.04968 8.60645 
input 1.6817 4.75603 PredOutput 1.68268 4.75796 
input 1.08961 1.29363 PredOutput 1.09137 1.2956 
input 1.96522 7.58983 PredOutput 1.96498 7.58513 
input 0.542056 0.159269 PredOutput 0.540573 0.161332 
input -1.39011 -2.68625 PredOutput -1.38972 -2.68634 
input -1.3069 -2.23218 PredOutput -1.30704 -2.23078 
input -1.64266 -4.4324 PredOutput -1.64374 -4.43563 
input -2.13899 -9.78645 PredOutput -2.13891 -9.78641 
input -0.16787 -0.00473061 PredOutput -0.169191 -0.00746521 
input -1.75623 -5.41681 PredOutput -1.75605 -5.4129 
input -0.467517 -0.102186 PredOutput -0.46527 -0.0998738 
input -0.91002 -0.75362 PredOutput -0.909864 -0.753229 
input 0.291124 0.0246736 PredOutput 0.289906 0.021562 
input -0.299889 -0.0269699 PredOutput -0.301542 -0.0270348 
input -0.631915 -0.252334 PredOutput -0.632614 -0.253763 
input 0.103613 0.00111235 PredOutput 0.10368 0.00148756 
input 0.879063 0.679298 PredOutput 0.879572 0.676747 
input 0.645532 0.269001 PredOutput 0.642706 0.268759 
input 1.17349 1.61597 PredOutput 1.17372 1.61711 
input 0.800456 0.512875 PredOutput 0.801434 0.513777 
input 1.11091 1.37098 PredOutput 1.11237 1.373 
input -1.36812 -2.56078 PredOutput -1.36776 -2.55925 
input -1.7536 -5.39253 PredOutput -1.75344 -5.38854 
input -1.60085 -4.10253 PredOutput -1.60153 -4.10459 
input 1.71403 5.03568 PredOutput 1.71433 5.03488 
input 1.87097 6.54935 PredOutput 1.87047 6.55179 
input 0.382849 0.0561156 PredOutput 0.384419 0.0565661 
input -0.10404 -0.00112615 PredOutput -0.101831 -0.00118631 
input 0.116699 0.0015893 PredOutput 0.116943 0.00107151 
input -1.20896 -1.76701 PredOutput -1.20972 -1.76898 
input 0.167971 0.0047392 PredOutput 0.167989 0.0019371 
input -0.670798 -0.301839 PredOutput -0.671592 -0.303616 
input -0.435664 -0.0826906 PredOutput -0.433434 -0.0803227 
input 0.63859 0.260415 PredOutput 0.635714 0.26027 
input 0.89402 0.714564 PredOutput 0.894735 0.712076 
input 1.14052 1.48356 PredOutput 1.14145 1.48533 
input -2.12882 -9.64753 PredOutput -2.12878 -9.64744 
input 0.443356 0.0871479 PredOutput 0.444817 0.0895187 
input 0.118053 0.00164524 PredOutput 0.118308 0.00104348 
input -1.0726 -1.23399 PredOutput -1.07203 -1.23239 
input 1.71518 5.04575 PredOutput 1.71544 5.04485 
input 1.41386 2.82628 PredOutput 1.41335 2.82943 
input -0.686578 -0.323646 PredOutput -0.687384 -0.325506 
input -2.095 -9.19503 PredOutput -2.09502 -9.19356 
input -0.911304 -0.756814 PredOutput -0.91114 -0.7564 
input 0.0326021 3.46527e-05 PredOutput 0.0325578 0.00380947 
input -1.35967 -2.51364 PredOutput -1.35935 -2.51179 
input -2.00906 -8.10925 PredOutput -2.00945 -8.11073 
input 0.929961 0.804257 PredOutput 0.931239 0.802408 
input 2.03089 8.3764 PredOutput 2.03146 8.38097 
input -0.105832 -0.00118535 PredOutput -0.10366 -0.00132868 
input -2.16929 -10.2083 PredOutput -2.16939 -10.2114 
input 1.0724 1.2333 PredOutput 1.07435 1.23513 
input 1.26563 2.02729 PredOutput 1.26388 2.02553 
input -0.990455 -0.971638 PredOutput -0.989925 -0.970142 
input -1.78181 -5.65699 PredOutput -1.78156 -5.65571 
input -1.43748 -2.97032 PredOutput -1.43703 -2.97282 
input -1.7746 -5.5886 PredOutput -1.77434 -5.5862 
input -0.697225 -0.338937 PredOutput -0.698031 -0.340832 
input -0.288648 -0.0240496 PredOutput -0.290626 -0.0244473 
input 0.442166 0.086448 PredOutput 0.44365 0.0887965 
input -0.536812 -0.154692 PredOutput -0.536286 -0.154105 
input -1.69638 -4.88168 PredOutput -1.69698 -4.88076 
input -1.2722 -2.05906 PredOutput -1.27268 -2.05906 
input -0.825689 -0.562923 PredOutput -0.826075 -0.564001 
input -1.66282 -4.59765 PredOutput -1.66381 -4.59974 
input -0.44308 -0.0869857 PredOutput -0.440797 -0.0845955 
input -1.49529 -3.34329 PredOutput -1.49456 -3.34274 
input -2.17609 -10.3045 PredOutput -2.17631 -10.3079 
input -0.167424 -0.00469303 PredOutput -0.168725 -0.00741528 
input 1.2581 1.99135 PredOutput 1.25648 1.98982 
input 1.61567 4.21751 PredOutput 1.61721 4.2206 
input 0.11913 0.00169068 PredOutput 0.119393 0.00102354 
input -1.71809 -5.07153 PredOutput -1.71837 -5.06869 
input 0.609002 0.225868 PredOutput 0.606173 0.226319 
input -0.410894 -0.0693727 PredOutput -0.409032 -0.0671979 
input 1.85482 6.38129 PredOutput 1.8543 6.38487 
input -0.553516 -0.169586 PredOutput -0.553354 -0.169468 
input 1.35502 2.48793 PredOutput 1.3529 2.48605 
input 1.9104 6.97222 PredOutput 1.90992 6.96996 
input 0.943499 0.839894 PredOutput 0.944981 0.838408 
input 0.548496 0.165014 PredOutput 0.546828 0.166943 
input 0.756099 0.432252 PredOutput 0.757181 0.434662 
input 0.438709 0.0844362 PredOutput 0.440259 0.0867178 
input -1.33805 -2.39561 PredOutput -1.33788 -2.39353 
input 1.03537 1.10991 PredOutput 1.03752 1.11108 
input -0.822846 -0.557129 PredOutput -0.823249 -0.558249 
input -1.75017 -5.36097 PredOutput -1.75004 -5.35691 
input -1.32122 -2.30633 PredOutput -1.32121 -2.3045 
input 1.9668 7.60823 PredOutput 1.96659 7.60368 
input 1.22524 1.83933 PredOutput 1.22429 1.8389 
input -0.903754 -0.738161 PredOutput -0.903638 -0.737882 
input 1.64302 4.43536 PredOutput 1.64456 4.43933 
input 0.569181 0.184396 PredOutput 0.566985 0.185842 
input 1.20252 1.73893 PredOutput 1.20209 1.73925 
input 0.517362 0.138479 PredOutput 0.516647 0.140961 
input -0.949127 -0.855014 PredOutput -0.948765 -0.854015 
input -1.44002 -2.98613 PredOutput -1.43957 -2.98859 
input -0.250612 -0.0157401 PredOutput -0.253256 -0.0175085 
input -1.75698 -5.42379 PredOutput -1.75679 -5.41991 
input 0.473441 0.10612 PredOutput 0.474134 0.108821 
input 1.09876 1.32652 PredOutput 1.10041 1.32853 
input -0.46535 -0.100772 PredOutput -0.463085 -0.0984414 
input -1.89977 -6.85648 PredOutput -1.89906 -6.85352 
input 1.67742 4.71982 PredOutput 1.67848 4.72208 
input -0.124789 -0.00194326 PredOutput -0.123221 -0.00295873 
input -1.11729 -1.39474 PredOutput -1.11704 -1.39412 
input -1.64525 -4.45343 PredOutput -1.64633 -4.45655 
input -0.0621906 -0.000240533 PredOutput -0.0598942 0.0015821 
input -1.61309 -4.19738 PredOutput -1.61399 -4.20039 
input -2.18756 -10.4684 PredOutput -2.18792 -10.469 
input 1.35791 2.5039 PredOutput 1.35584 2.50216 
input -1.42818 -2.91307 PredOutput -1.42778 -2.91557 
input 1.21025 1.77267 PredOutput 1.20964 1.77275 
input -1.28807 -2.13707 PredOutput -1.2884 -2.1364 
input 0.738797 0.40325 PredOutput 0.739001 0.404714 
input 1.72622 5.14389 PredOutput 1.72626 5.14216 
input -1.34863 -2.4529 PredOutput -1.34838 -2.45084 
input 0.764052 0.446035 PredOutput 0.765393 0.448668 
input 0.143062 0.00292803 PredOutput 0.143333 0.00102071 
input 0.955203 0.871539 PredOutput 0.956846 0.870392 
input -2.17429 -10.279 PredOutput -2.17449 -10.2825 
input 0.850829 0.615924 PredOutput 0.8511 0.613743 
input 0.673581 0.305612 PredOutput 0.671202 0.305213 
input 0.0631473 0.000251805 PredOutput 0.0626968 0.00324826 
input -1.97795 -7.73829 PredOutput -1.97832 -7.74094 
input 1.66766 4.63787 PredOutput 1.66889 4.64083 
input -0.949168 -0.855125 PredOutput -0.948806 -0.854126 
input -0.268442 -0.0193442 PredOutput -0.270874 -0.0204151 
input 1.25922 1.99667 PredOutput 1.25758 1.9951 
input -0.32316 -0.0337484 PredOutput -0.324042 -0.0331964 
input 2.05785 8.71453 PredOutput 2.05857 8.71777 
input -1.49897 -3.36807 PredOutput -1.49823 -3.36725 
input -0.458989 -0.0966959 PredOutput -0.456691 -0.0943263 
input 1.07804 1.25285 PredOutput 1.07993 1.25474 
input -1.81048 -5.93442 PredOutput -1.81034 -5.93823 
input 1.75069 5.36568 PredOutput 1.75026 5.3627 
input -0.355767 -0.0450295 PredOutput -0.355493 -0.0437448 
input 1.22492 1.8379 PredOutput 1.22398 1.83748 
input -0.169449 -0.00486537 PredOutput -0.170842 -0.00764118 
input 0.448038 0.0899385 PredOutput 0.4494 0.092388 
input -1.31018 -2.24901 PredOutput -1.31028 -2.2475 
input -1.88618 -6.71045 PredOutput -1.88551 -6.7088 
input -0.50816 -0.131221 PredOutput -0.5068 -0.129736 
input 1.83414 6.17022 PredOutput 1.83355 6.1739 
input 1.65266 4.51388 PredOutput 1.65411 4.51761 
input 1.88618 6.71043 PredOutput 1.88569 6.71123 
input 2.06094 8.75375 PredOutput 2.06166 8.7567 
input -1.37171 -2.58099 PredOutput -1.37133 -2.57963 
input -1.0477 -1.15004 PredOutput -1.04708 -1.14829 
input 0.976019 0.929768 PredOutput 0.977904 0.929262 
input -0.945344 -0.84483 PredOutput -0.944999 -0.843884 
input 2.01392 8.16822 PredOutput 2.01433 8.17208 
input -0.295358 -0.0257659 PredOutput -0.297147 -0.0259615 
input -0.599599 -0.215567 PredOutput -0.600082 -0.216497 
input -1.03566 -1.11082 PredOutput -1.03504 -1.10907 
input -1.38147 -2.63651 PredOutput -1.38108 -2.63581 
input -2.1694 -10.2099 PredOutput -2.16951 -10.213 
input -2.14861 -9.91904 PredOutput -2.14845 -9.91851 
input 0.612474 0.229753 PredOutput 0.609619 0.230124 
input 0.773055 0.461989 PredOutput 0.774557 0.464655 
input 0.20998 0.00925841 PredOutput 0.20932 0.00567593 
input -1.2189 -1.81093 PredOutput -1.21966 -1.81274 
input 1.58745 4.00037 PredOutput 1.58842 3.9991 
input 1.57003 3.87014 PredOutput 1.57061 3.86647 
input 2.00689 8.08294 PredOutput 2.00722 8.08605 
input -1.11246 -1.37675 PredOutput -1.11216 -1.37596 
input 0.562671 0.178141 PredOutput 0.56063 0.179746 
input 0.0765192 0.000448034 PredOutput 0.0760914 0.00278327 
input 0.854001 0.622838 PredOutput 0.854283 0.620576 
input 0.525667 0.145255 PredOutput 0.524686 0.147617 
input 1.73956 5.264 PredOutput 1.73933 5.26146 
input 0.985491 0.957102 PredOutput 0.987464 0.956891 
input -1.42271 -2.87972 PredOutput -1.42232 -2.88212 
input 0.606787 0.223413 PredOutput 0.603979 0.223917 
input -2.09187 -9.15383 PredOutput -2.0919 -9.15226 
input -1.26602 -2.02918 PredOutput -1.26655 -2.02944 
input -1.62948 -4.32661 PredOutput -1.63053 -4.33007 
input 1.07868 1.2551 PredOutput 1.08057 1.25699 
input -1.11325 -1.37966 PredOutput -1.11296 -1.3789 
input 1.74704 5.33226 PredOutput 1.74668 5.3294 
input -0.364436 -0.0484021 PredOutput -0.363865 -0.0469447 
input -1.79303 -5.76449 PredOutput -1.79284 -5.76562 
input 1.67519 4.70103 PredOutput 1.67629 4.70346 
input -1.25514 -1.97732 PredOutput -1.25575 -1.97803 
input -0.183618 -0.00619082 PredOutput -0.185533 -0.00925817 
input 1.6541 4.5257 PredOutput 1.65553 4.52937 
input 0.676543 0.30966 PredOutput 0.674234 0.309273 
input 1.31431 2.27033 PredOutput 1.31201 2.26765 
input -0.781215 -0.476772 PredOutput -0.781829 -0.47839 
input 1.60245 4.11488 PredOutput 1.60382 4.11644 
input -1.76163 -5.46695 PredOutput -1.76141 -5.4633 
input 0.336509 0.0381058 PredOutput 0.336251 0.0363561 
input 0.0779779 0.000474149 PredOutput 0.0775614 0.0027249 
input 1.25023 1.95418 PredOutput 1.24876 1.9529 
input -1.17671 -1.62934 PredOutput -1.1773 -1.63118 
input 1.40405 2.76787 PredOutput 1.40326 2.77033 
input 1.28005 2.09738 PredOutput 1.27807 2.09522 
input 1.21396 1.789 PredOutput 1.21326 1.78895 
input -0.917702 -0.772868 PredOutput -0.917501 -0.772345 
input -2.06093 -8.75369 PredOutput -2.06107 -8.75215 
input 0.509936 0.132601 PredOutput 0.509464 0.135171 
input 1.93446 7.23898 PredOutput 1.93402 7.23424 
input 0.998123 0.99438 PredOutput 1.00019 0.994553 
input -1.52178 -3.52414 PredOutput -1.52104 -3.52182 
input 1.58154 3.95587 PredOutput 1.58235 3.95353 
input 1.61621 4.22179 PredOutput 1.61777 4.22492 
input -0.483778 -0.113224 PredOutput -0.481755 -0.111122 
input 0.252082 0.0160187 PredOutput 0.250876 0.0123817 
input -1.69752 -4.89156 PredOutput -1.69811 -4.89053 
input -0.845842 -0.605156 PredOutput -0.846104 -0.605917 
input -2.04583 -8.56264 PredOutput -2.04604 -8.56174 
input 0.93808 0.825504 PredOutput 0.939482 0.823868 
input -0.287144 -0.0236756 PredOutput -0.289161 -0.024119 
input -1.84631 -6.29382 PredOutput -1.84596 -6.29709 
input 1.60544 4.13793 PredOutput 1.60686 4.13991 
input -1.11551 -1.38809 PredOutput -1.11524 -1.3874 
input -1.75506 -5.40596 PredOutput -1.75488 -5.40201 
input -1.83666 -6.19566 PredOutput -1.83639 -6.19968 
input 2.15398 9.99369 PredOutput 2.154 9.99141 
input -1.56434 -3.8282 PredOutput -1.56405 -3.82571 
input -0.389175 -0.0589433 PredOutput -0.387839 -0.0570581 
input 1.71785 5.06939 PredOutput 1.71806 5.06827 
input -1.50676 -3.42083 PredOutput -1.50601 -3.41946 
input 1.01498 1.04561 PredOutput 1.01711 1.04627 
input -0.466716 -0.101662 PredOutput -0.464463 -0.099343 
input -0.528552 -0.14766 PredOutput -0.527815 -0.146826 
input 0.0335153 3.76469e-05 PredOutput 0.033452 0.00380225 
input 0.299534 0.0268745 PredOutput 0.298406 0.0239509 
input -0.716538 -0.36789 PredOutput -0.71733 -0.369809 
input -1.7324 -5.19933 PredOutput -1.73248 -5.19561 
input 1.791 5.745 PredOutput 1.79012 5.74286 
input -0.636378 -0.257718 PredOutput -0.637096 -0.259201 
input -0.480093 -0.110656 PredOutput -0.478003 -0.108491 
input 1.05798 1.18423 PredOutput 1.06004 1.18585 
input 0.256069 0.0167908 PredOutput 0.254834 0.0131824 
input 0.895711 0.718627 PredOutput 0.896451 0.716155 
input -2.00688 -8.08282 PredOutput -2.00727 -8.08445 
input 2.06452 8.79953 PredOutput 2.06526 8.80212 
input -2.038 -8.46475 PredOutput -2.03826 -8.4643 
input -0.611979 -0.229197 PredOutput -0.612563 -0.230342 
input -1.10325 -1.34282 PredOutput -1.10286 -1.34177 
input 1.04236 1.13255 PredOutput 1.04449 1.13388 
